ID_Venta,Fecha,Hora,Sucursal,Nombre_Producto,Categoría_Producto,Tamaño,Cantidad,Precio_Unitario,Total_Venta,Método_de_Compra,Método_de_Pago,Cliente_Miembro,Descuento_Miembro,Promoción_Aplicada,Empleado_Atendió,Turno,Demora_Preparación_Min,Satisfacción_Cliente,Stock_Antes,Stock_Después
VTA00001,2025-01-04,08:25,"San Lorenzo 25, Nueva Córdoba",Termo Reutilizable,Merchandising,,2,3277.87,6555.74,En tienda,App,Sí,15,Combo,Camila,Noche,13.7,5,23,21
VTA00002,2025-01-10,14:08,Córdoba Shopping,Té Verde en Hebras,Té,,1,1630.18,1630.18,Take Away,Tarjeta,Sí,10,Ninguna,Florencia,Noche,2.3,4,20,19
VTA00003,2025-01-17,15:10,Córdoba Shopping,Moneda de Chocolate,Snacks,,4,879.24,3516.96,En tienda,Tarjeta,No,0,Ninguna,Julián,Tarde,8.8,2,23,19
VTA00004,2025-03-23,07:23,Calle San Lorenzo 47,Espresso Roast,Café en Granos,,5,2230.73,11153.65,Take Away,Tarjeta,Sí,10,Ninguna,Marcos,Noche,3.9,3,19,14
VTA00005,2025-03-19,18:33,Córdoba Shopping,Espresso Roast,Café en Granos,,5,2486.63,12433.15,Delivery,Tarjeta,No,0,Combo,Sofía,Tarde,13.8,5,41,36
VTA00006,2025-02-02,18:10,Calle San Lorenzo 47,Croissant Relleno con Crema de Avellanas,Bakery,,4,981.8,3927.2,Take Away,App,Sí,15,Happy Hour,Marcos,Noche,4.4,4,21,17
VTA00007,2025-01-09,11:58,Calle San Lorenzo 47,Té Chai Latte,Té Caliente,,2,1399.43,2798.86,Delivery,Efectivo,No,0,Ninguna,Sofía,Mañana,5.8,3,38,36
VTA00008,2025-02-20,14:28,Córdoba Shopping,Mocha,Bebida Espresso Caliente,Grande,3,1740.24,5220.72,En tienda,Efectivo,Sí,15,Happy Hour,Camila,Noche,8.9,5,40,37
VTA00009,2025-02-25,13:53,"San Lorenzo 25, Nueva Córdoba",Espresso Roast,Café en Granos,,4,2519.29,10077.16,Delivery,App,No,0,Combo,Marcos,Noche,5.0,1,29,25
VTA00010,2025-02-23,13:12,"San Lorenzo 25, Nueva Córdoba",Caramel Frappuccino,Frappuccino,Venti,4,1915.53,7662.12,Take Away,App,Sí,15,2x1,Luis,Mañana,14.6,1,29,25
VTA00011,2025-02-16,19:32,"San Lorenzo 25, Nueva Córdoba",Skinny Vainilla Latte,Bebida Espresso Caliente,Pequeño,1,1699.89,1699.89,En tienda,Tarjeta,Sí,0,Combo,Camila,Tarde,11.0,2,23,22
VTA00012,2025-03-26,17:28,Avenida Colón 608,Té Verde,Té Caliente,,5,1505.14,7525.7,Delivery,Efectivo,No,0,Happy Hour,Sofía,Tarde,8.2,1,46,41
VTA00013,2025-03-31,19:43,Avenida Colón 608,Vainilla Latte,Bebida Espresso Caliente,Pequeño,4,1692.3,6769.2,Delivery,Efectivo,No,0,Ninguna,Florencia,Mañana,13.8,3,22,18
VTA00014,2025-01-03,11:18,Avenida Colón 608,Mocha,Bebida Espresso Caliente,Tall,4,1773.71,7094.84,Delivery,App,Sí,15,Ninguna,Florencia,Mañana,5.4,2,13,9
VTA00015,2025-01-31,10:34,"San Lorenzo 25, Nueva Córdoba",Bagel Sandwich,Sándwiches,,4,1795.23,7180.92,En tienda,Tarjeta,No,0,Combo,Sofía,Noche,3.8,3,41,37
VTA00016,2025-04-14,16:06,Avenida Colón 608,Muffin de Arándanos,Bakery,,3,1155.1,3465.3,Delivery,Tarjeta,Sí,10,Ninguna,Luis,Tarde,14.5,3,17,14
VTA00017,2025-03-15,21:00,Córdoba Shopping,Latte Helado,Bebida Espresso Helada,Grande,2,1869.29,3738.58,En tienda,Efectivo,No,0,Happy Hour,Julián,Noche,3.8,1,17,15
VTA00018,2025-03-21,18:21,Córdoba Shopping,Té Verde,Té Caliente,,1,1252.47,1252.47,Take Away,App,No,0,Ninguna,Camila,Tarde,9.3,2,11,10
VTA00019,2025-03-17,10:00,Córdoba Shopping,Latte Helado,Bebida Espresso Helada,Pequeño,3,1358.09,4074.27,Take Away,Efectivo,Sí,0,Ninguna,Sofía,Noche,8.4,5,12,9
VTA00020,2025-04-16,08:24,"San Lorenzo 25, Nueva Córdoba",Skinny Vainilla Latte Helado,Bebida Espresso Helada,Grande,2,1801.12,3602.24,Delivery,App,No,0,Happy Hour,Marcos,Mañana,10.5,4,29,27
VTA00021,2025-02-09,10:24,"San Lorenzo 25, Nueva Córdoba",Té Verde,Té Caliente,,5,1175.14,5875.7,En tienda,Efectivo,No,0,Combo,Marcos,Noche,10.7,3,10,5
VTA00022,2025-03-11,20:18,"San Lorenzo 25, Nueva Córdoba",Moneda de Chocolate,Snacks,,1,1187.82,1187.82,Delivery,App,No,0,Ninguna,Florencia,Tarde,3.0,3,28,27
VTA00023,2025-02-17,19:06,Avenida Colón 608,Té Verde,Té Caliente,,5,1390.33,6951.65,Delivery,Efectivo,No,0,2x1,Julián,Tarde,10.6,3,34,29
VTA00024,2025-02-11,12:45,Calle San Lorenzo 47,Moneda de Chocolate,Snacks,,3,992.03,2976.09,En tienda,Tarjeta,No,0,Happy Hour,Julián,Noche,13.4,4,25,22
VTA00025,2025-04-06,11:03,Córdoba Shopping,Té Chai Latte,Té Caliente,,1,1214.11,1214.11,Delivery,Tarjeta,No,0,2x1,Luis,Mañana,7.5,5,31,30
VTA00026,2025-01-02,10:06,Córdoba Shopping,Caramel Frappuccino,Frappuccino,Tall,2,1610.81,3221.62,Take Away,Efectivo,Sí,15,Ninguna,Julián,Tarde,10.3,2,34,32
VTA00027,2025-03-10,09:07,"San Lorenzo 25, Nueva Córdoba",House Blend,Café en Granos,,5,2430.53,12152.65,Delivery,Efectivo,Sí,0,Combo,Sofía,Mañana,9.2,3,28,23
VTA00028,2025-03-24,19:24,Calle San Lorenzo 47,House Blend,Café en Granos,,4,2270.69,9082.76,Take Away,Efectivo,No,0,2x1,Camila,Mañana,3.9,4,40,36
VTA00029,2025-02-12,08:10,Calle San Lorenzo 47,Té Chai Latte,Té Caliente,,4,1389.75,5559.0,Take Away,Efectivo,Sí,10,Ninguna,Florencia,Tarde,11.2,2,23,19
VTA00030,2025-03-17,15:21,Córdoba Shopping,Té Verde,Té Caliente,,5,1157.61,5788.05,Delivery,Tarjeta,No,0,Ninguna,Luis,Mañana,11.7,5,44,39
VTA00031,2025-02-06,20:52,Córdoba Shopping,Fosforito de Jamón y Queso,Sándwiches,,3,1980.86,5942.58,Take Away,App,No,0,Ninguna,Julián,Tarde,9.1,3,12,9
VTA00032,2025-01-04,19:29,Córdoba Shopping,Té Helado de Hibiscus,Té Helado,,2,1252.01,2504.02,En tienda,Efectivo,No,0,Ninguna,Marcos,Tarde,14.5,5,49,47
VTA00033,2025-02-19,08:14,"San Lorenzo 25, Nueva Córdoba",Té Helado de Hibiscus,Té Helado,,2,1387.71,2775.42,Delivery,Efectivo,Sí,0,Happy Hour,Marcos,Mañana,6.2,3,25,23
VTA00034,2025-02-19,19:25,"San Lorenzo 25, Nueva Córdoba",Té Helado de Hibiscus,Té Helado,,5,1622.55,8112.75,Delivery,Tarjeta,No,0,Ninguna,Sofía,Tarde,7.7,4,40,35
